"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_return_book_not_borrowed","tests","Tue Mar 11 13:34:00 GMT 2025","passed","Tue Mar 11 13:34:00 GMT 2025","TestsBookAPI","test_for_integration","",""
"","2","test_delete_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_books_details","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_users_with_wrong_url_suffix","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestUserAPI","test_for_users","",""
"","0","test_add_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","4","test_sanity_check","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_delete_non_exist_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","6","test_update_book_information","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_integration","",""
"","3","test_update_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_update_non_exist_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_get_users_number","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestUserAPI","test_for_users","",""
"","4","test_delete_borrowed_book","tests","Tue Mar 11 13:34:00 GMT 2025","failed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_integration","",""
"","5","test_add_and_borrow_new_book","tests","Tue Mar 11 13:34:00 GMT 2025","passed","Tue Mar 11 13:34:00 GMT 2025","TestsBookAPI","test_for_integration","",""
"","1","test_get_users_list","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestUserAPI","test_for_users","",""
"","2","test_return_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","4","test_borrow_already_borrowed_book","tests","Tue Mar 11 13:34:00 GMT 2025","passed","Tue Mar 11 13:34:00 GMT 2025","TestsBookAPI","test_for_integration","",""
"","0","test_add_and_delete_new_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","2","test_get_books","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
"","1","test_borrow_book","tests","Tue Mar 11 13:34:01 GMT 2025","passed","Tue Mar 11 13:34:01 GMT 2025","TestsBookAPI","test_for_libary","",""
